statement_id,item_original,item_depersonalised,transformation,A,B,C,D
32,We find strength when we face illness and adversity. It makes us who we are.,We find strength when we face illness and adversity. It makes us who we are.,unchanged,-0.24,-0.28,-0.09,1.77
33,"If genome editing is proven to be safe, then I see no reason to oppose it.","If genome editing is proven to be safe, there is no reason to oppose it.",stripped,1.7,-0.58,-0.8,-0.69
34,It is better to accept our genes the way they are than to tamper with things we don't understand.,It is better to accept our genes the way they are than to tamper with things we don't understand.,unchanged,-1.06,-0.13,-1.16,0.35
35,I would strongly consider using genome editing for my children if it could safely give them an advantage in life.,It is acceptable for parents to use genome editing if it could safely give their children an advantage in life.,recast,0.87,-0.64,-1.16,-0.79
36,I don't think we know enough about genetic diseases or the long-term consequences of genome editing,We do not know enough about genetic diseases or the long-term consequences of genome editing.,stripped,0.46,1.17,-0.09,1.29
37,I think we should keep an open mind about new discoveries.,We should keep an open mind about new discoveries.,stripped,1.82,0.76,1.35,1.86
38,I would be OK with having my own genome edited.,It is acceptable for a person to have their own genome edited.,recast,0.88,-0.64,0.27,0.63
39,Each individual has a right to decide for themselves whether to undergo gene editing.,Each individual has a right to decide for themselves whether to undergo gene editing.,unchanged,1.38,0.94,0.99,1.58
40,Interfering in people's genes is intervening a bit too far in human creation.,Interfering in people's genes is intervening a bit too far in human creation.,unchanged,-1.41,-0.56,0.99,0.06
41,I admit that the idea of editing the human genome is a bit scary.,The idea of editing the human genome is frightening.,stripped,-0.01,0.52,0.27,-0.6
42,The use of gene editing for non-medical reasons reminds me of the Nazis during the Second World War.,The use of gene editing for non-medical reasons recalls the Nazis during the Second World War.,stripped,-0.99,-0.92,-0.09,-0.03
43,Science and technology are controlling our lives.,Science and technology are controlling our lives.,unchanged,-0.49,-0.55,1.71,0.44
44,I believe that future humans will need genome editing to survive.,Future humans will need genome editing to survive.,stripped,0.03,-1.31,-1.88,-2.21
45,I believe we should remain as natural as possible but we should not shy away from furthering medicine and the chance to save lives.,We should remain as natural as possible but we should not shy away from furthering medicine and the chance to save lives.,stripped,0.57,1.18,0.99,1.2
46,"If you can have strong genes, you will have wellbeing.","If you can have strong genes, you will have wellbeing.",unchanged,0.33,-1.05,-0.8,0.54
