model,repetition,discourse,presence,treatment,extent,replicates,presence_agreement,treatment_agreement,quote_verified,quote_match,parse_failures,presence_score,extent_score,available,present_any
moonshotai/kimi-k3,4,F,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,5,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,5,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,5,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,5,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,5,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,5,F,articulated,neutral,a sentence or two,3,1.0,1.0,1.0,1.0,0,2,1,True,True
moonshotai/kimi-k3,6,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,6,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,6,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,6,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,6,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,6,F,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,7,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,7,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,7,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,7,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,7,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,7,F,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,8,A,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,8,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,8,C,articulated,neutral,a paragraph,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0,2,2,True,True
moonshotai/kimi-k3,8,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,8,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,8,F,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,9,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,9,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,9,C,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,9,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,9,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,9,F,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,10,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,10,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,10,C,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,10,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,10,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,10,F,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
z-ai/glm-5.2,1,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,1,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,1,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,1,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,1,E,articulated,neutral,several paragraphs,3,0.6666666666666666,1.0,1.0,1.0,0,2,3,True,True
z-ai/glm-5.2,1,F,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
z-ai/glm-5.2,2,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,2,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
z-ai/glm-5.2,2,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,2,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,2,E,mentioned,neutral,a sentence or two,3,0.6666666666666666,1.0,1.0,1.0,0,1,1,False,True
z-ai/glm-5.2,2,F,absent,not_applicable,none,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,0,False,False
z-ai/glm-5.2,3,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,3,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,3,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,3,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,3,E,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
z-ai/glm-5.2,3,F,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,4,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,4,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,4,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,4,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,4,E,articulated,neutral,a paragraph,3,0.6666666666666666,1.0,0.0,0.0,0,2,2,True,True
z-ai/glm-5.2,4,F,mentioned,neutral,a sentence or two,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,1,False,True
z-ai/glm-5.2,5,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,5,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,5,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,5,D,articulated,neutral,a paragraph,3,0.6666666666666666,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,5,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,5,F,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
z-ai/glm-5.2,6,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,6,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,6,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,6,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,6,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,6,F,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
z-ai/glm-5.2,7,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,7,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,7,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,7,D,articulated,neutral,a paragraph,3,0.6666666666666666,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,7,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
z-ai/glm-5.2,7,F,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
z-ai/glm-5.2,8,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,8,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,8,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,8,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,8,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
z-ai/glm-5.2,8,F,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
z-ai/glm-5.2,9,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,9,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,9,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,9,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,9,E,articulated,neutral,several paragraphs,3,0.6666666666666666,1.0,1.0,1.0,0,2,3,True,True
z-ai/glm-5.2,9,F,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
z-ai/glm-5.2,10,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,10,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,10,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,10,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
z-ai/glm-5.2,10,E,mentioned,neutral,a sentence or two,3,0.6666666666666666,1.0,1.0,1.0,0,1,1,False,True
z-ai/glm-5.2,10,F,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
