model,run_id,n_sentences,n_A,share_A,present_A,n_B,share_B,present_B,n_C,share_C,present_C,n_D,share_D,present_D,n_E,share_E,present_E,n_F,share_F,present_F,coverage,tvd,evenness
moonshotai/kimi-k3,moonshotai__kimi-k3__rep01,49,4,0.09090909090909091,True,4,0.09090909090909091,True,19,0.4318181818181818,True,12,0.2727272727272727,True,4,0.09090909090909091,True,1,0.022727272727272728,False,5,0.37121212121212116,0.813136628324198
moonshotai/kimi-k3,moonshotai__kimi-k3__rep02,49,2,0.047619047619047616,True,6,0.14285714285714285,True,17,0.40476190476190477,True,13,0.30952380952380953,True,0,0.0,False,4,0.09523809523809523,True,5,0.38095238095238093,0.767948619426237
moonshotai/kimi-k3,moonshotai__kimi-k3__rep03,53,3,0.06521739130434782,True,5,0.10869565217391304,True,23,0.5,True,11,0.2391304347826087,True,0,0.0,False,4,0.08695652173913043,True,5,0.4057971014492754,0.7369011886116033
moonshotai/kimi-k3,moonshotai__kimi-k3__rep04,54,4,0.07692307692307693,True,6,0.11538461538461539,True,20,0.38461538461538464,True,17,0.3269230769230769,True,0,0.0,False,5,0.09615384615384616,True,5,0.3782051282051282,0.7839573601623556
moonshotai/kimi-k3,moonshotai__kimi-k3__rep05,49,0,0.0,False,6,0.13953488372093023,True,16,0.37209302325581395,True,13,0.3023255813953488,True,3,0.06976744186046512,True,5,0.11627906976744186,True,5,0.3410852713178294,0.8038384355177838
moonshotai/kimi-k3,moonshotai__kimi-k3__rep06,48,1,0.023255813953488372,False,9,0.20930232558139536,True,20,0.46511627906976744,True,8,0.18604651162790697,True,1,0.023255813953488372,False,4,0.09302325581395349,True,4,0.3604651162790698,0.7769578549045023
moonshotai/kimi-k3,moonshotai__kimi-k3__rep07,56,2,0.03773584905660377,True,6,0.11320754716981132,True,23,0.4339622641509434,True,13,0.24528301886792453,True,4,0.07547169811320754,True,5,0.09433962264150944,True,6,0.34591194968553457,0.8343811217731377
moonshotai/kimi-k3,moonshotai__kimi-k3__rep08,46,4,0.09302325581395349,True,8,0.18604651162790697,True,15,0.3488372093023256,True,11,0.2558139534883721,True,4,0.09302325581395349,True,1,0.023255813953488372,False,5,0.2906976744186047,0.8697195817453823
moonshotai/kimi-k3,moonshotai__kimi-k3__rep09,53,1,0.020833333333333332,False,6,0.125,True,22,0.4583333333333333,True,12,0.25,True,3,0.0625,True,4,0.08333333333333333,True,5,0.375,0.7953572173187474
moonshotai/kimi-k3,moonshotai__kimi-k3__rep10,54,2,0.041666666666666664,True,5,0.10416666666666667,True,18,0.375,True,15,0.3125,True,4,0.08333333333333333,True,4,0.08333333333333333,True,6,0.35416666666666674,0.8446814232544494
z-ai/glm-5.2,z-ai__glm-5.2__rep01,58,7,0.1346153846153846,True,12,0.23076923076923078,True,16,0.3076923076923077,True,13,0.25,True,3,0.057692307692307696,True,1,0.019230769230769232,False,5,0.2884615384615385,0.8696096023537877
z-ai/glm-5.2,z-ai__glm-5.2__rep02,47,4,0.08888888888888889,True,7,0.15555555555555556,True,16,0.35555555555555557,True,16,0.35555555555555557,True,2,0.044444444444444446,True,0,0.0,False,5,0.37777777777777777,0.7692516911042088
z-ai/glm-5.2,z-ai__glm-5.2__rep03,57,6,0.11764705882352941,True,6,0.11764705882352941,True,15,0.29411764705882354,True,19,0.37254901960784315,True,4,0.0784313725490196,True,1,0.0196078431372549,False,5,0.33333333333333337,0.8416715622425266
z-ai/glm-5.2,z-ai__glm-5.2__rep04,55,7,0.1346153846153846,True,8,0.15384615384615385,True,15,0.28846153846153844,True,17,0.3269230769230769,True,2,0.038461538461538464,True,3,0.057692307692307696,True,6,0.282051282051282,0.8773097520644536
z-ai/glm-5.2,z-ai__glm-5.2__rep05,45,2,0.05263157894736842,True,5,0.13157894736842105,True,11,0.2894736842105263,True,18,0.47368421052631576,True,2,0.05263157894736842,True,0,0.0,False,5,0.4298245614035088,0.7197417572811557
z-ai/glm-5.2,z-ai__glm-5.2__rep06,42,1,0.02631578947368421,False,8,0.21052631578947367,True,14,0.3684210526315789,True,10,0.2631578947368421,True,4,0.10526315789473684,True,1,0.02631578947368421,False,4,0.3421052631578947,0.8235790413391101
z-ai/glm-5.2,z-ai__glm-5.2__rep07,52,4,0.0851063829787234,True,9,0.19148936170212766,True,15,0.3191489361702128,True,14,0.2978723404255319,True,4,0.0851063829787234,True,1,0.02127659574468085,False,5,0.30851063829787234,0.8612003869247792
z-ai/glm-5.2,z-ai__glm-5.2__rep08,51,1,0.022727272727272728,False,6,0.13636363636363635,True,17,0.38636363636363635,True,15,0.3409090909090909,True,3,0.06818181818181818,True,2,0.045454545454545456,True,5,0.3939393939393939,0.7900598298911302
z-ai/glm-5.2,z-ai__glm-5.2__rep09,50,4,0.08695652173913043,True,10,0.21739130434782608,True,17,0.3695652173913043,True,9,0.1956521739130435,True,5,0.10869565217391304,True,1,0.021739130434782608,False,5,0.2826086956521739,0.8682216205076888
z-ai/glm-5.2,z-ai__glm-5.2__rep10,48,2,0.046511627906976744,True,6,0.13953488372093023,True,18,0.4186046511627907,True,12,0.27906976744186046,True,4,0.09302325581395349,True,1,0.023255813953488372,False,5,0.3643410852713178,0.8073654920162608
