model,repetition,discourse,presence_0,treatment_0,extent_0,extent_score_0,available_0,presence_1,treatment_1,extent_1,extent_score_1,available_1
deepseek/deepseek-v4-pro-0813,9,A,articulated,neutral,a paragraph,2,True,absent,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,9,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
deepseek/deepseek-v4-pro-0813,9,C,articulated,neutral,a paragraph,2,True,mentioned,neutral,several paragraphs,3,False
deepseek/deepseek-v4-pro-0813,10,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,10,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
deepseek/deepseek-v4-pro-0813,10,C,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
moonshotai/kimi-k3,1,A,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
moonshotai/kimi-k3,1,B,articulated,neutral,a paragraph,2,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,1,C,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
moonshotai/kimi-k3,2,A,articulated,neutral,several paragraphs,3,True,absent,not_applicable,none,0,False
moonshotai/kimi-k3,2,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,2,C,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
moonshotai/kimi-k3,3,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
moonshotai/kimi-k3,3,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,3,C,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
moonshotai/kimi-k3,4,A,articulated,neutral,several paragraphs,3,True,absent,not_applicable,none,0,False
moonshotai/kimi-k3,4,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,4,C,articulated,neutral,a paragraph,2,True,mentioned,neutral,none,0,False
moonshotai/kimi-k3,5,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
moonshotai/kimi-k3,5,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,5,C,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
moonshotai/kimi-k3,6,A,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
moonshotai/kimi-k3,6,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,6,C,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
moonshotai/kimi-k3,7,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
moonshotai/kimi-k3,7,B,articulated,neutral,several paragraphs,3,True,absent,neutral,several paragraphs,3,False
moonshotai/kimi-k3,7,C,articulated,neutral,a paragraph,2,True,absent,neutral,none,0,False
moonshotai/kimi-k3,8,A,articulated,neutral,several paragraphs,3,True,mentioned,neutral,none,0,False
moonshotai/kimi-k3,8,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,8,C,articulated,neutral,several paragraphs,3,True,absent,not_applicable,none,0,False
moonshotai/kimi-k3,9,A,articulated,neutral,a paragraph,2,True,absent,neutral,a paragraph,2,False
moonshotai/kimi-k3,9,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,9,C,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,10,A,articulated,neutral,several paragraphs,3,True,mentioned,neutral,a sentence or two,1,False
moonshotai/kimi-k3,10,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
moonshotai/kimi-k3,10,C,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,1,A,articulated,neutral,a paragraph,2,True,articulated,neutral,a paragraph,2,True
z-ai/glm-5.2,1,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,1,C,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,2,A,mentioned,neutral,a sentence or two,1,False,mentioned,neutral,a paragraph,2,False
z-ai/glm-5.2,2,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,2,C,mentioned,neutral,a sentence or two,1,False,mentioned,neutral,a paragraph,2,False
z-ai/glm-5.2,3,A,articulated,neutral,a paragraph,2,True,articulated,neutral,a paragraph,2,True
z-ai/glm-5.2,3,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,3,C,absent,not_applicable,none,0,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,4,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
z-ai/glm-5.2,4,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,4,C,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,5,A,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,5,B,articulated,neutral,a paragraph,2,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,5,C,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
z-ai/glm-5.2,6,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
z-ai/glm-5.2,6,B,articulated,neutral,a paragraph,2,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,6,C,mentioned,neutral,a sentence or two,1,False,mentioned,neutral,a paragraph,2,False
z-ai/glm-5.2,7,A,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
z-ai/glm-5.2,7,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,7,C,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,8,A,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,8,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,8,C,absent,neutral,none,0,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,9,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
z-ai/glm-5.2,9,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,9,C,mentioned,neutral,a sentence or two,1,False,mentioned,neutral,none,0,False
z-ai/glm-5.2,10,A,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
z-ai/glm-5.2,10,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
z-ai/glm-5.2,10,C,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
