run_id,model,repetition,paragraph_index,n_words,text,sim_A,sim_B,sim_C,sim_D,top_discourse,top_similarity,runner_up_margin,assigned,assigned_centred
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,1,131,"At its simplest, human genome editing means making precise changes to the DNA inside living human cells. A crucial distinction is between somatic editing, which affects only the person being treated, and germline editing, which changes the DNA of eggs, sperm or early embryos and can be passed on to future generations. Somatic editing is already being developed for conditions such as sickle cell disease, some cancers and inherited blindness, and is generally treated as a form of medicine. Germline editing is not clinically available in Australia, and heritable genetic changes for reproduction are prohibited. This distinction shapes much of the debate: many people are more willing to consider somatic therapies because they resemble existing treatments, while germline editing raises additional questions about inheritance, consent and the long-term direction of humanity.",0.74297893,0.7596884,0.7306611,0.71811706,B,0.7596884,0.016709447,B,B
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,2,114,"The hopes associated with genome editing are often focused on the relief of serious suffering. For families affected by genetic conditions such as cystic fibrosis, Huntington disease or muscular dystrophy, the ability to correct a single faulty gene could be life-changing. Somatic therapies might treat disease in a living child or adult, while germline editing might allow parents who carry a serious genetic condition to have a biologically related child without passing that condition on. From this perspective, compassion and the desire to reduce suffering support careful development of the technology. Researchers and patient advocates often emphasise that editing is not about creating perfect people, but about preventing devastating illness and expanding reproductive choices.",0.7691203,0.7650036,0.7477112,0.7282673,A,0.7691203,0.0041166544,A,A
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,3,112,"Safety concerns remain central. Genome editing tools, particularly CRISPR-based systems, can sometimes change the wrong part of the genome, producing off-target effects that could cause cancer or other harm. In germline editing, such changes would affect not just one person but all subsequent generations, and mistakes would be extremely difficult to reverse. Because the human genome is complex and knowledge is incomplete, some argue that any clinical use of germline editing would be reckless. Others accept that somatic editing can proceed through careful clinical trials, but draw a firm line at heritable changes until safety can be better understood, even if that evidence is difficult to obtain without crossing the line first.",0.7596665,0.74518245,0.74667484,0.74030924,A,0.7596665,0.012991667,A,A
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,4,98,"A related concern involves consent and future generations. A person born after germline editing could not consent to having their genome altered. Some see this as fundamentally unjust, since we would be making irreversible choices about another human being’s genetic makeup without their agreement. Others reply that parents already make many decisions for future children, from nutrition to education, and that preventing a serious inherited disease is likely to be in the child’s interests. Still, germline editing raises the stakes because the decision reverberates through family lines and could shape the genetic inheritance of people not yet imagined.",0.77987087,0.8249916,0.77220684,0.7616472,B,0.8249916,0.045120716,B,B
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,5,118,"Disability communities and advocates offer important cautionary perspectives. Many people with genetic conditions argue that a push to edit out certain genes can send a harmful message that their lives are less valuable, or that they should not exist. They point out that disability is often shaped by social barriers rather than biology alone, and that society should invest in inclusion and support instead of seeking to eliminate difference. At the same time, some individuals and families affected by severe genetic disorders distinguish between respecting disabled people and wanting to avoid real pain and early death. This is not a single view; it is a conversation about identity, stigma and what kinds of lives count as worth living.",0.7154265,0.791242,0.7426615,0.7019529,B,0.791242,0.048580527,B,B
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,6,104,"Justice and equity are also prominent concerns. If genome editing becomes available, it may be expensive, and access might be limited to those who can pay. This could create a new form of inequality in which genetic protections or advantages are available to some but not others. In Australia, questions about public funding, Medicare and the role of private clinics would shape who benefits. Internationally, the gap between wealthy and poorer countries could widen if the technology is unevenly distributed. Some participants may emphasise that benefits should be shared fairly; others may worry that any use of germline editing would inevitably favour the privileged.",0.6971244,0.77689546,0.68320906,0.6751376,B,0.77689546,0.07977104,B,B
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,7,121,"The distinction between treating disease and enhancing human traits is much discussed. Many people are comfortable with editing to treat or prevent serious medical conditions but oppose using it to select or improve traits such as intelligence, height, appearance or athletic ability. They fear a slippery slope from medicine to designer babies, and a future in which parents feel pressured to genetically optimise their children. Others argue that the line between therapy and enhancement is not always clear, and that some enhancements, such as increased resistance to disease, may be beneficial. Even among those who oppose enhancement, there is debate about whether a clear legal boundary can be drawn and enforced, or whether banning it might simply drive the practice underground.",0.7314635,0.7113912,0.71587104,0.70010465,A,0.7314635,0.015592456,A,A
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,8,126,"Religious, cultural and philosophical perspectives enrich the debate. Some faith traditions regard the human genome as a sacred inheritance that should not be altered at will, while others see healing and the relief of suffering as a religious duty and may support editing when it serves that purpose. For some people, nature has moral significance and human intervention in the germline is a form of hubris. For others, medicine is itself a human intervention in nature, and the question is simply whether the intervention is safe and beneficial. Australia’s diversity means that no single cultural perspective can be assumed. Some First Nations worldviews may emphasise connection to ancestors, Country and future generations, framing editing as a matter of collective and spiritual significance rather than individual choice.",0.7847127,0.7963089,0.8055752,0.75284964,C,0.8055752,0.009266317,C,C
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,9,109,"Regulation and governance are unavoidable topics. Australia already restricts heritable genome editing and regulates somatic treatments through bodies such as the Therapeutic Goods Administration and the National Health and Medical Research Council. Some participants may feel that current prohibitions are appropriate and should remain. Others may argue for a pathway to permit germline editing for serious inherited conditions if safety and broad social consensus can be established. International guidance, such as that from the World Health Organization, encourages responsible governance, public deliberation and precaution. A recurring theme is trust: public confidence depends on transparency, independent scrutiny and clear limits. Without such safeguards, even promising medical uses could be rejected.",0.7404811,0.72485375,0.71105546,0.6891585,A,0.7404811,0.015627325,A,A
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,10,100,"Finally, the assembly will be asked to weigh values that pull in different directions. Compassion for suffering families, respect for human dignity, concern for future generations, reproductive freedom, disability inclusion, social justice, humility in the face of biological complexity and trust in democratic oversight are all part of the landscape. Each of these values can support different conclusions depending on how they are prioritised. The task is not to resolve every philosophical disagreement, but to consider how a pluralist society like Australia can make thoughtful, legitimate and revisable decisions about a technology that touches the very beginnings of human life.",0.63323057,0.6534046,0.63195276,0.6193745,B,0.6534046,0.020174026,B,B
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,0,111,"Human genome editing touches something both intimate and shared: the instructions that shape our bodies, our health and, in the case of heritable changes, the inheritance we pass on. The technologies grouped under this heading—most prominently CRISPR-Cas9—allow scientists to alter DNA sequences in living cells. Some interventions are described as somatic because they affect a patient’s own body and do not pass to offspring. Others are described as germline or heritable because they alter embryos, eggs, sperm or early embryonic cells and would be inherited by future generations. It is this second possibility that generates the most profound disagreement, because decisions made by one generation could reach into all that follow.",0.7469874,0.76996547,0.7368032,0.72035885,B,0.76996547,0.022978067,B,B
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,1,86,"In Australia, somatic gene therapies are beginning to move through clinical trial and regulatory pathways, and a 2022 law permits mitochondrial donation under strict licence for families affected by mitochondrial disease. However, heritable nuclear genome editing for reproduction is prohibited, and research on human embryos is tightly restricted. Assembly participants are not starting from a blank page, but from a legal and cultural setting that already expresses caution about altering the human germline. Still, the technologies are changing quickly, and the public conversation has not settled.",0.67249334,0.69787306,0.70123625,0.6320974,C,0.70123625,0.003363192,C,C
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,2,119,"For people living with sickle cell disease, beta thalassaemia, some inherited blindness, certain cancers and other serious conditions, genome editing is not distant speculation but a source of real hope. Somatic therapies can correct or disrupt a gene in a person’s own cells. Some have moved from trials into approved treatments in other countries, and Australian researchers are involved in this work. The language here is often about relief from suffering, the chance to avoid painful procedures, and the possibility of tackling diseases that currently have few effective options. For parents who carry a serious genetic condition, heritable editing can seem like a way to ensure their child is born free of that condition while retaining a biological connection.",0.7379075,0.74441534,0.7122871,0.6976547,B,0.74441534,0.006507814,B,A
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,3,128,"But alongside hope sits uncertainty. Genome editing tools are not always as precise as the word “editing” suggests. They can cut at unintended places, produce off-target mutations, or create mosaics in which only some cells are altered. For somatic therapy, those risks are largely borne by the consenting patient. For heritable editing, the risks would extend to a child who has no say, and to that child’s children. Because effects might appear late or across a lifetime, many scientists and ethicists argue that heritable editing should not be attempted until there is far stronger evidence of safety, and perhaps only if broad social consensus emerges. Some also point out that most human traits are influenced by many genes and by environment, making predictions about long-term consequences especially difficult.",0.7864449,0.7769267,0.75896657,0.7658662,A,0.7864449,0.009518206,A,A
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,4,117,"For some parents and patient advocates, the strongest argument is the desire to spare a child from severe genetic disease. They ask why a couple who knows they carry a serious condition should be denied the chance to have a genetically related child who is free of that condition, particularly when other options such as prenatal testing and embryo selection may not work or may involve termination. In this view, freedom from foreseeable suffering is a compassionate goal, and parents are best placed to make decisions about their own family. Some argue that, once the technology is safe, preventing a devastating disease by altering an embryo could be morally comparable to preventing disease through vaccination or surgery.",0.66837156,0.6808579,0.6929153,0.6454329,C,0.6929153,0.012057424,C,C
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,5,113,"Yet this framing alarms others. They point to a long history of eugenics in which societies labelled some people as unfit, sterilised them or sought to eliminate them. Disability rights advocates caution that a rush to edit out genetic variations can reinforce the message that disabled lives are less worth living. They note that many hereditary conditions exist on a spectrum, that people with disabilities often live rich and valued lives, and that many barriers arise not from genes but from discrimination, inaccessible environments and inadequate support. From this perspective, the appropriate response to genetic difference is not always to erase it but to create a society that accommodates and values all people.",0.6610878,0.70501184,0.6736449,0.64555717,B,0.70501184,0.031366944,B,B
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,6,102,"Even among those who accept editing to prevent serious disease, there is disagreement about where the line should be drawn. What counts as serious? Deafness, short stature, autism susceptibility, or a gene associated with higher cancer risk? Some people in the deaf community, for example, have argued that deafness is not simply a disorder to be corrected but a cultural identity. If society permits editing for health, how will it resist expansion towards enhancement—stronger muscles, greater height, memory, or cosmetic traits? Some see this as a slippery slope; others say a clear line can be held through careful regulation and public oversight.",0.7169778,0.73797756,0.73713076,0.6964417,B,0.73797756,0.0008468032,B,C
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,7,115,"Another major theme is fairness. If genome editing is expensive, it may be available only to those who can pay, or only in countries with advanced health systems. In Australia, a publicly funded health system might make some therapies accessible, but the cost of clinical development is high and pressure to limit expensive treatments is real. There is also an international dimension: wealthy nations could drive research priorities, while poorer countries continue to struggle with basic healthcare, clean water and infectious disease. Some participants may see genome editing as a distraction from more urgent health needs; others may see it as a tool that, if shared fairly, could reduce the burden of inherited disease worldwide.",0.7261496,0.7624131,0.70736265,0.6930314,B,0.7624131,0.036263466,B,B
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,8,121,"Australian regulation is often described as cautious. The Prohibition of Human Cloning for Reproduction Act 2002 and the Research Involving Human Embryos Act 2002 set the main framework. Somatic genome editing can be regulated much like other medical treatments, through clinical trials, safety monitoring and the Therapeutic Goods Administration. Heritable nuclear genome editing for reproduction is not legal. Mitochondrial donation, which replaces faulty mitochondria but does not edit nuclear DNA, has been allowed under a licensing scheme for a narrow purpose: preventing severe mitochondrial disease. This legal context means that any move towards heritable editing would require Parliament to change the law, and many argue that such a change should happen only after extensive public deliberation—exactly the work of this assembly.",0.679225,0.675658,0.6916756,0.63053423,C,0.6916756,0.012450576,C,C
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,9,83,"People also bring deeper moral and spiritual frameworks. Some religious traditions see the human genome as a gift or sacred inheritance and worry that editing amounts to overstepping human limits. Others within the same traditions might emphasise healing and stewardship, saying that using human creativity to relieve suffering is itself a moral obligation. Secular ethics similarly spans a wide range: some prioritise individual autonomy and benefit, while others stress precaution, solidarity and the need to protect future generations from decisions they cannot reverse.",0.7305188,0.71075416,0.7228898,0.7137778,A,0.7305188,0.007629037,A,A
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,10,77,"Australian deliberation must also be attentive to Aboriginal and Torres Strait Islander perspectives. First Nations communities hold diverse views, but many emphasise kinship, Country and the continuity of ancestral inheritance. Genetic technologies can raise particular sensitivities about identity, belonging and the relationship between biological inheritance and cultural knowledge. Meaningful engagement with Indigenous peoples is not a box-ticking exercise; it requires respect for self-determination and recognition that concepts of health and inheritance may differ from Western biomedical assumptions.",0.63481885,0.6907251,0.64995086,0.62081486,B,0.6907251,0.040774226,B,B
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,11,83,"The 2018 announcement that twins had been born after heritable genome editing in China shocked researchers and regulators around the world. It was widely condemned as premature, unsafe and unethical, and it crystallised fears that the technology could outpace governance. It also highlighted the need for transparency, international cooperation and public confidence. Many people are wary of scientists, companies or governments making decisions behind closed doors. They want processes that are inclusive, accountable and capable of listening to ordinary citizens, not only experts.",0.7553718,0.7458652,0.72114134,0.7252071,A,0.7553718,0.009506583,A,A
deepseek__deepseek-v4-pro-0813__rep03,deepseek/deepseek-v4-pro-0813,3,12,116,"This assembly therefore sits inside a landscape of genuine pluralism. There is no single Australian view, and perhaps no permanent consensus to be found. Instead, participants will need to weigh competing values: hope for healing against humility before unknown consequences; parental love against concern for the child and society; the value of human diversity against the desire to prevent suffering; freedom of research against the need for boundaries; and the interests of people today against responsibilities to future generations. The purpose of the deliberation is not to resolve every philosophical question, but to make thoughtful, informed and democratically legitimate recommendations about how Australia should proceed—if at all—with one of the most consequential technologies of our time.",0.62769115,0.64875627,0.6185998,0.61425227,B,0.64875627,0.021065116,B,B
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,0,153,"Human genome editing refers to a set of powerful new tools that allow scientists to make precise changes to the DNA in human cells. It is helpful to distinguish between two broad forms. Somatic genome editing alters the genetic material in particular body cells of an existing person, such as blood or liver cells, and those changes are not passed on to future children. Heritable, or germline, genome editing alters the DNA of embryos, eggs or sperm so that the change could be inherited by future generations. A second distinction cuts across both forms: therapeutic editing aims to prevent or treat disease, while enhancement aims to alter traits such as height, intelligence, strength or appearance, rather than address a medical condition. The emergence of tools such as CRISPR-Cas9 has made editing cheaper, faster and more widely available, which is why this issue now feels urgent to many Australians and people around the world.",0.74194014,0.7571051,0.71228576,0.71614283,B,0.7571051,0.015164971,B,B
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,1,153,"Many people come to this conversation with hope. They see genome editing as a natural extension of medicine, a way to correct the genetic mutations that cause serious diseases such as cystic fibrosis, sickle cell disease, Huntington’s disease, certain inherited cancers and some forms of blindness. For families affected by genetic conditions, the technology may offer the possibility of having healthy biological children and sparing future generations from severe pain and early death. Even somatic editing, which is already being trialled for some blood disorders and other conditions, is seen by many as a compassionate response to suffering. On this view, society has a moral duty to pursue safe and effective technologies that reduce disease, just as it does with vaccines, surgery and medicines. Reproductive freedom is also central here: many people believe parents should be able to use the best available medical options to give their children a healthy start in life.",0.8159317,0.8275279,0.80474573,0.7718774,B,0.8275279,0.011596203,B,A
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,2,162,"At the same time, many people are deeply cautious because the science is still developing. Editing tools can make unintended changes in parts of the genome that were not targeted, sometimes called off-target edits, and these could cause new diseases or cancer. Another problem is mosaicism, where only some cells in an embryo or tissue are successfully edited, making the outcome unpredictable. Heritable changes are especially concerning because they would affect every cell of the future person and could be passed on to their children and grandchildren. A mistake made now could enter the human gene pool permanently. Long-term safety cannot be guaranteed before reproductive use, because some effects may not appear for decades. There is also a question of consent. A child born after heritable editing cannot consent to having their genetic code altered, and future generations cannot consent either. Some ask whether it is fair to expose an unborn person to unknown risks for a benefit they did not choose.",0.76794726,0.7585744,0.7650549,0.7496379,A,0.76794726,0.002892375,A,C
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,3,176,"Beyond safety, there are deep ethical and social concerns. One major worry is that heritable editing could slide into a new form of eugenics. Even if the first uses are limited to serious diseases, the line between prevention and enhancement is not always clear. If society accepts editing embryos to prevent disease, some fear it may gradually accept editing for desirable traits, leading to what is often called designer babies. Parents might feel social pressure to select certain genetic features, and children could be judged by their genetic make-up. Disability advocates often argue that pursuing genetic fixes can reinforce stigma, implying that people living with disabilities are mistakes or burdens. They point out that many difficulties experienced by people with disability arise from social barriers, discrimination and lack of support, rather than from the genetic difference itself. Others highlight inequality: if editing is expensive, only wealthy families may be able to afford it, widening existing health and social gaps. There are also concerns about commercialisation, coercion and the possibility of a market in human genetic traits.",0.7706992,0.8216197,0.76421326,0.7508013,B,0.8216197,0.050920486,B,B
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,4,153,"People also bring different worldviews and values to this issue. Some religious and spiritual traditions hold that human life is sacred from conception and that altering the human germline interferes with a role reserved for God or violates the natural order. Others see human creativity and healing as part of responsible stewardship or as an expression of human flourishing. Indigenous perspectives in Australia may emphasise kinship, ancestral connection and the integrity of community and Country; decisions about heredity may be understood as collective rather than individual, and there may be scepticism about technologies that concentrate power in distant laboratories or corporations. Feminist and disability-informed perspectives often stress relational autonomy, the social context of reproduction, and the danger of individual choices reinforcing discriminatory norms. Secular humanists may focus on reducing suffering and expanding human choice, while still cautioning about unintended consequences. These are not fixed camps; many people hold mixed and sometimes conflicting intuitions.",0.6610989,0.6608937,0.677276,0.6486727,C,0.677276,0.016177118,C,C
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,5,132,"Australia already has a regulatory framework for some of these questions. Reproductive cloning and certain forms of genetic modification are prohibited, and research involving human embryos is tightly controlled under a licensing system. Somatic gene therapies can be approved as therapeutic goods. In 2022, the Australian Parliament passed legislation allowing mitochondrial donation under strict conditions, sometimes known as Maeve’s Law. Mitochondrial donation is not the same as genome editing, because it involves moving nuclear DNA between eggs to prevent serious mitochondrial disease rather than changing genes directly. Even so, it showed that Parliament can contemplate heritable genetic changes in limited circumstances. Some people argue that this has opened the door slightly to heritable modification, while others insist that mitochondrial donation is different and should not be treated as a precedent for editing.",0.6411582,0.65690047,0.68497205,0.60606205,C,0.68497205,0.028071582,C,C
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,6,137,"The international context also matters. Australia does not decide in a vacuum. The World Health Organization has recommended that no clinical use of heritable genome editing proceed until safety, efficacy and broad social consensus are established. Some countries have ambiguous or permissive rules, and there have been reports of births after germline editing overseas, raising concerns about medical tourism. If Australia bans certain uses, Australians may still travel elsewhere to access them, which raises difficult questions of justice and enforcement. Conversely, if Australia permits uses early, it may influence global norms. International scientific bodies have suggested that any responsible pathway would require rigorous oversight, public consultation and perhaps an initial focus on severe genetic diseases where no reasonable alternative exists. Others argue that no amount of oversight can manage the social risks of altering the human germline.",0.66367084,0.6782218,0.6623095,0.63707626,B,0.6782218,0.014550984,B,C
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,7,131,"Within this spectrum there are possible middle positions. Some propose allowing somatic editing freely as therapy while imposing a moratorium on heritable editing. Others would allow heritable editing only for severe, early-onset diseases with no reasonable alternative, under independent oversight, with long-term follow-up and broad access. Still others would permit research on embryos in the laboratory but not allow reproductive use for now. A further distinction is sometimes drawn between editing that restores a gene to a common healthy version and editing that introduces novel genetic variants. Some who oppose enhancement may accept restoration but not enhancement. Yet many disability advocates and social justice advocates warn that even well-intended therapeutic editing can entrench the idea that some lives are not worth living and draw resources away from care, inclusion and support.",0.7318416,0.71276253,0.74153674,0.71318126,C,0.74153674,0.009695113,C,C
deepseek__deepseek-v4-pro-0813__rep04,deepseek/deepseek-v4-pro-0813,4,8,118,"Ultimately, the assembly will be asked to weigh competing values: the desire to prevent suffering and support families, the duty to protect future generations from irreversible harm, the commitment to equality and inclusion, respect for diverse moral and cultural worldviews, and the need for trustworthy governance. Australians approach this issue with a mixture of hope, fear, caution and curiosity. The challenge is not simply to choose between innovation and safety, but to design a path that is scientifically credible, ethically reflective and democratically legitimate. This report is intended to open the conversation, not to close it, so that participants can deliberate with a clearer view of the rich landscape of perspectives that citizens bring to human genome editing.",0.78556836,0.78871244,0.76364905,0.75172997,B,0.78871244,0.0031440854,B,A
